NOMBRE;Supermercado Dia Tigre	
PRODUCTOS REGISTRADOS:

PRODUCTO;Papas Dia TUBO 200grs	
PRECIO;3540
CATEGORIA;Snacks

PRODUCTO;Carne Picada 500grs OFERTA	
PRECIO;6433
CATEGORIA;Carnes y Congelados

PRODUCTO;Persi BLACK 2lts	
PRECIO;3610
CATEGORIA;Gaseosas

PRODUCTO;Termidor	
PRECIO;700
CATEGORIA;Cervezas y Vinos

PRODUCTO;Pan BIMBO Artesano	
PRECIO;4399
CATEGORIA;Panificados


NOMBRE;Carrefour Carupa	

PRODUCTO;Papas Fritas Carrefour 500grs	
PRECIO;4160
CATEGORIA;Snacks

PRODUCTO;Zanahoria 2kgs	
PRECIO;4122
CATEGORIA;Verduleria

PRODUCTO;Pan Bimbo Artesano	
PRECIO;5690
CATEGORIA;Panificados

PRODUCTO;Coca Cola Original 2,75lts	
PRECIO;5990
CATEGORIA;Gaseosas

PRODUCTO;Fideos Mo¤o Marolio 730grs	
PRECIO;2430
CATEGORIA;Almacen


NOMBRE;Chino Xun Meng	

PRODUCTO;Doritos 320grs	
PRECIO;2200
CATEGORIA;Snacks

PRODUCTO;Manaos 2,75	
PRECIO;2100
CATEGORIA;Gaseosas

PRODUCTO;Carne Picada 500grs	
PRECIO;2090
CATEGORIA;Carnes y Congelados

PRODUCTO;Pringles Cheddar	
PRECIO;4300
CATEGORIA;Snacks


NOMBRE;Supermercado DIA	

PRODUCTO;Luccheti Lentejas	
PRECIO;1790
CATEGORIA;Almacen

PRODUCTO;Papas Fritas TUBO 350grs	
PRECIO;1880
CATEGORIA;Snacks

PRODUCTO;Sprite Lima 1,75lts	
PRECIO;2145
CATEGORIA;Gaseosas


NOMBRE;Supermercado LA CENTRAL	

PRODUCTO;La Bicky Sabor Lima	
PRECIO;1599
CATEGORIA;Gaseosas

PRODUCTO;Pan Molido La Favorita	
PRECIO;4200
CATEGORIA;Almacen

PRODUCTO;Brahma 710ml	
PRECIO;1599
CATEGORIA;Cervezas y Vinos


NOMBRE;San Nicolas	

PRODUCTO;Carne Picada 500grs	
PRECIO;1900
CATEGORIA;Carnes y Congelados

PRODUCTO;Krachitos Papas Fritas	
PRECIO;30000
CATEGORIA;Snacks

PRODUCTO;Pan Lactal Casero 240grs	
PRECIO;2010
CATEGORIA;Panificados


NOMBRE;EL BICHO	

PRODUCTO;Papas Fritas Congeladas	
PRECIO;4500
CATEGORIA;Carnes y Congelados

PRODUCTO;Fideos Tirabuzon OFERTA	
PRECIO;2199
CATEGORIA;Almacen

PRODUCTO;Mirinda 1lt	
PRECIO;32080
CATEGORIA;Gaseosas


NOMBRE;Supermercado Petra	

PRODUCTO;Doritos 700grs	
PRECIO;5302
CATEGORIA;Snacks

PRODUCTO;Papas 1kg	
PRECIO;650
CATEGORIA;Verduleria

PRODUCTO;Papas 2kgs	
PRECIO;1100
CATEGORIA;Verduleria

PRODUCTO;Stella Artois 1lt	
PRECIO;3470
CATEGORIA;Cervezas y Vinos

PRODUCTO;Pan Bimbo Artesano	
PRECIO;3100
CATEGORIA;Panificados


