NOMBRE;Supermercado Dia Tigre	
PROVINCIA;Buenos Aires	
LOCALIDAD;Tigre	


NOMBRE;Carrefour Carupa	
PROVINCIA;Buenos Aires	
LOCALIDAD;San Fernando	


NOMBRE;Chino Xun Meng	
PROVINCIA;Buenos Aires	
LOCALIDAD;Beccar	


NOMBRE;Supermercado DIA	
PROVINCIA;Buenos Aires	
LOCALIDAD;Gral Pacheco	


NOMBRE;Supermercado LA CENTRAL	
PROVINCIA;Cordoba	
LOCALIDAD;La Serranita	


NOMBRE;San Nicolas	
PROVINCIA;Cordoba	
LOCALIDAD;Villa Carlos Paz	


NOMBRE;EL BICHO	
PROVINCIA;Cordoba	
LOCALIDAD;Falda del Carmen	


NOMBRE;Supermercado Petra	
PROVINCIA;Corrientes	
LOCALIDAD;Goya	


NOMBRE;tomy dietetica	
PROVINCIA;Buenos Aires	
LOCALIDAD;Tigre	


